,Fiyat,Marka,Seri,Model,Yıl,Yakıt,Vites,KM,Kasa_Tipi,Motor_Gucu,Motor_Hacmi,Cekis,Renk,Garanti,Plaka,Kimden,Takas
10,16.500 TL,Honda,Civic,1.6 1.6i,1990,Benzin & LPG,Manuel,145.000,Hatchback 3 kapı,110 hp,1590 cc,Önden Çekiş,Siyah,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
11,23.900 TL,Hyundai,Accent,1.5 GLS,2000,Benzin & LPG,Manuel,205.000,Sedan,92 hp,1495 cc,Önden Çekiş,Kırmızı,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
12,68.500 TL,Toyota,Auris,1.4 D-4D Comfort Extra,2011,Dizel,Yarı Otomatik,185.000,Hatchback 5 kapı,90 hp,1364 cc,Önden Çekiş,Füme,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
13,108.750 TL,Renault,Fluence,1.5 dCi Icon,2015,Dizel,Yarı Otomatik,88.900,Sedan,110 hp,1461 cc,Önden Çekiş,Füme,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
14,25.800 TL,Renault,R 19,1.6 Europa iE,2001,Benzin,Manuel,218.000,Hatchback 5 kapı,90 hp,1598 cc,Önden Çekiş,Kırmızı,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
15,126.500 TL,Toyota,Corolla,1.6 Advance,2017,Benzin,Manuel,31.000,Sedan,132 hp,1598 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Sahibinden,Hayır
16,78.900 TL,Renault,Fluence,1.5 dCi Touch,2014,Dizel,Yarı Otomatik,93.000,Sedan,110 hp,1461 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
17,40.500 TL,Fiat,Brava,1.6 SX,2000,Benzin,Manuel,81.000,Hatchback 5 kapı,103 hp,1581 cc,Önden Çekiş,Gümüş Gri,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
18,25.500 TL,Volkswagen,Polo,1.6,1998,Benzin & LPG,Manuel,126.000,Hatchback 3 kapı,75 hp,1598 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
19,81.000 TL,Volkswagen,Jetta,1.4 TSI Comfortline,2010,Benzin,Yarı Otomatik,131.000,Sedan,122 hp,1390 cc,Önden Çekiş,Gümüş Gri,Evet,Türkiye (TR) Plakalı,Sahibinden,Hayır
20,154.000 TL,Volkswagen,Passat,2.0 TDi BlueMotion Comfortline,2015,Dizel,Yarı Otomatik,210.000,Sedan,150 hp,1968 cc,Önden Çekiş,Siyah,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
21,112.500 TL,Toyota,Corolla,1.4 D-4D Touch,2016,Dizel,Yarı Otomatik,97.000,Sedan,90 hp,1364 cc,Önden Çekiş,Füme,Hayır,Türkiye (TR) Plakalı,Sahibinden,Hayır
22,115.500 TL,Honda,Civic,1.6i VTEC Eco Elegance,2012,Benzin & LPG,Otomatik,102.000,Sedan,125 hp,1595 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
23,168.500 TL,Opel,Insignia,1.6 T Edition Elegance,2017,Benzin,Otomatik,29.900,Sedan,170 hp,1598 cc,Önden Çekiş,Füme,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
24,39.900 TL,Honda,Civic,1.6 i ES,1999,Benzin & LPG,Manuel,238.000,Sedan,125 hp,1590 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Galeriden,Evet
25,68.900 TL,Opel,Corsa,1.3 CDTI Essentia,2014,Dizel,Manuel,75.000,Hatchback 5 kapı,75 hp,1248 cc,Önden Çekiş,Gri,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
26,69.500 TL,Hyundai,i30,1.4 Blue Drive,2014,Benzin & LPG,Manuel,59.000,Hatchback 5 kapı,100 hp,1396 cc,Önden Çekiş,Siyah,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
27,144.750 TL,Toyota,Corolla,1.4 D-4D Advance,2018,Dizel,Yarı Otomatik,58.000,Sedan,90 hp,1364 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Galeriden,Hayır
28,20.000 TL,Hyundai,Accent,1.3 LS,1997,Benzin & LPG,Manuel,209.000,Sedan,75 hp,1341 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
